latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
10.05978,-64.89305,348.2,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,293.7,4.9
10.05618,-64.87246,328.6,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292.2,2.4
10.05326,-64.85568,329.4,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.7,2.2
9.77292,-63.27001,329.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.3,3.4
10.05688,-64.87646,306.7,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.5,2.4
10.05399,-64.85989,305.3,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.4,2.2
9.77196,-63.26462,313.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.9,3.4
10.05549,-64.89397,309.6,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,291.5,4.9
9.7739,-63.46843,320.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,286.3,2.7
9.74231,-63.43047,320.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.5,2.5
9.73435,-63.46692,302.2,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.6,5.1
9.73138,-63.47806,302.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.8,1.6
9.73047,-63.47289,309.2,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.8,2.7
9.7277,-63.4572,303.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.4,1.9
9.86099,-64.35084,311,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.5,1.3
9.6982,-63.45781,303,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.8,0.9
9.86178,-64.43403,308.9,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292,1.6
10.4842,-68.11729,329.2,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,273,2
10.48488,-68.12135,304.1,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,275.1,2
9.681,-63.47203,304.1,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.6,4.6
9.67621,-63.47285,340.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.5,4.6
9.73536,-63.88245,303.4,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288,1
9.72514,-63.87898,313.3,0.5,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.8,2.1
9.65612,-63.52514,301.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.1,1.3
9.65898,-63.56783,324.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.5,4
9.6523,-63.5312,352.7,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.2,9.4
9.65803,-63.56262,303.8,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.9,1.4
9.65326,-63.53646,305.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.7,3.7
9.65134,-63.52595,312.1,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,9.4
9.658,-63.58932,301.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.2,0.6
9.65421,-63.56856,317.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.8,4
9.65326,-63.56336,315,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,1.4
9.6523,-63.55814,303.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.4,1.4
9.94341,-65.19899,316.5,0.4,0.5,2017-04-29,06:12,N,nominal,1.0NRT,279.6,0.6
9.64944,-63.5693,306.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,4.2
9.64849,-63.56411,311.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.1,3.2
9.64753,-63.55891,311.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.2,3.2
9.64658,-63.5537,301.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.3,2
9.65413,-63.62172,352.4,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.5,6.7
9.64562,-63.57525,327.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.5,4.2
9.64467,-63.57006,332,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.6,4.2
9.64372,-63.56487,335.1,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.5,3.2
9.64276,-63.55967,323,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.5,3.2
9.6418,-63.55445,321,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.2,2
9.93918,-65.19975,296.4,0.4,0.5,2017-04-29,06:12,N,nominal,1.0NRT,273.5,0.6
9.65507,-63.62682,314.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.8,6.7
9.65319,-63.61659,311.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.5,2.9
9.65033,-63.62761,350.1,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,292.3,17
9.64939,-63.6225,355.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,290.3,17
9.65126,-63.63269,313.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.2,13.4
9.64845,-63.61739,305.2,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.4,4.9
11.14203,-72.54295,307.1,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,292.5,3.6
9.64558,-63.62839,310.9,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.5,17
9.62471,-63.56831,306.8,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,289.1,1.2
11.13739,-72.58188,310.5,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,291.6,2.1
11.13684,-72.57814,307,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,291.8,2.1
11.13572,-72.57067,307.9,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,292,3.6
11.1307,-72.58212,310.7,0.4,0.4,2017-04-29,06:12,N,nominal,1.0NRT,291.9,4
9.66965,-63.68332,301.7,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.2,1
9.64991,-63.57045,304.6,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.9,3
9.649,-63.56525,314.3,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,288.8,3
9.64809,-63.56006,314.5,0.6,0.5,2017-04-29,06:12,N,nominal,1.0NRT,287.8,2.3
